data_year,ori,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,county_name,agency_type_name,population_group_desc,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
2018,TXDI00200,Fort Davis Nhs,,TX,West South Central,South,N/A,Unknown,"Cities under 2,500",0,,,,,,,,,,
2018,TXINS0100,"U.S. Border Patrol, Del Rio",,TX,West South Central,South,N/A,Federal,"Cities under 2,500",0,,,,,,,,,,
2018,TX0130000,Bee,,TX,West South Central,South,BEE,County,"Non-MSA counties from 10,000 thru 24,999",19622,18,18,36,1,15,16,19,33,52,2.65
2018,TX0151300,Terrell Hills,,TX,West South Central,South,BEXAR,City,"Cities from 2,500 thru 9,999",5473,,,,,,,,,,
2018,TX0154700,San Antonio Park Rangers Police Department,,TX,West South Central,South,BEXAR,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX0210200,College Station,,TX,West South Central,South,BRAZOS,City,"Cities from 100,000 thru 249,999",116565,134,24,158,9,47,56,143,71,214,1.84
2018,TX0210200,College Station,,TX,West South Central,South,BRAZOS,City,"Cities from 100,000 thru 249,999",116565,134,24,158,9,47,56,143,71,214,1.84
2018,TX0540000,Crosby,,TX,West South Central,South,CROSBY,County,"MSA counties under 10,000",1177,5,6,11,1,5,6,6,11,17,14.44
2018,TX0573200,Southern Methodist University,,TX,West South Central,South,N/A,Unknown,"Cities under 2,500",0,,,,,,,,,,
2018,TX0610100,Argyle,,TX,West South Central,South,DENTON,City,"Cities from 2,500 thru 9,999",4236,,,,,,,,,,
2018,TX0612900,Roanoke,,TX,West South Central,South,DENTON,City,"Cities from 2,500 thru 9,999",8489,26,2,28,3,9,12,29,11,40,4.71
2018,TX0620300,Yorktown,,TX,West South Central,South,DEWITT,City,"Cities under 2,500",2079,,,,,,,,,,
2018,TX0680400,University of Texas:,Permian Basin,TX,West South Central,South,ECTOR,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0712200,Independent School District:,Socorro,TX,West South Central,South,EL PASO,Other,"Cities under 2,500",0,38,2,40,5,4,9,43,6,49,
2018,TX0810200,Teague,,TX,West South Central,South,FREESTONE,City,"Cities from 2,500 thru 9,999",3498,4,0,4,2,1,3,6,1,7,2.00
2018,TX0850100,Post,,TX,West South Central,South,GARZA,City,"Cities from 2,500 thru 9,999",5440,,,,,,,,,,
2018,TX0990100,Chillicothe,,TX,West South Central,South,HARDEMAN,City,"Cities under 2,500",683,,,,,,,,,,
2018,TX1120100,Cumby,,TX,West South Central,South,HOPKINS,City,"Cities under 2,500",792,,,,,,,,,,
2018,TX1120200,Sulphur Springs,,TX,West South Central,South,HOPKINS,City,"Cities from 10,000 thru 24,999",16111,28,2,30,0,9,9,28,11,39,2.42
2018,TX1520200,Lubbock,,TX,West South Central,South,LUBBOCK,City,"Cities from 250,000 thru 499,999",257372,394,23,417,38,79,117,432,102,534,2.07
2018,TX1900000,Rains,,TX,West South Central,South,RAINS,County,"Non-MSA counties from 10,000 thru 24,999",11857,11,7,18,1,12,13,12,19,31,2.61
2018,TX2050000,San Patricio,,TX,West South Central,South,SAN PATRICIO,County,"MSA counties from 10,000 thru 24,999",16350,,,,,,,,,,
2018,TX2090100,Albany,,TX,West South Central,South,SHACKELFORD,City,"Cities under 2,500",1975,,,,,,,,,,
2018,TX2190100,Happy,,TX,West South Central,South,RANDALL; SWISHER,City,"Cities under 2,500",665,,,,,,,,,,
2018,TX0000000,Department of Public Safety,,TX,West South Central,South,N/A,State Police,"Non-MSA counties under 10,000",0,3858,1856,5714,306,3454,3760,4164,5310,9474,
2018,TX0040100,Aransas Pass,,TX,West South Central,South,NUECES; ARANSAS; SAN PATRICIO,City,"Cities from 2,500 thru 9,999",8280,25,2,27,1,11,12,26,13,39,4.71
2018,TX0110000,Bastrop,,TX,West South Central,South,BASTROP,County,"MSA counties from 25,000 thru 99,999",63885,69,60,129,7,65,72,76,125,201,3.15
2018,TX0201100,Richwood,,TX,West South Central,South,BRAZORIA,City,"Cities from 2,500 thru 9,999",3967,,,,,,,,,,
2018,TX0791400,Fulshear,,TX,West South Central,South,FORT BEND,City,"Cities from 10,000 thru 24,999",13790,15,0,15,2,2,4,17,2,19,1.38
2018,TX0880500,Goliad,,TX,West South Central,South,GOLIAD,City,"Cities under 2,500",1977,,,,,,,,,,
2018,TX1011300,La Porte,,TX,West South Central,South,HARRIS,City,"Cities from 25,000 thru 49,999",35591,70,13,83,5,15,20,75,28,103,2.89
